episode,clip,shot_num,#_frames_extrac,mem_score,duration
s01e07,clip_3_13780-18426,17473-17603-.mp4,17,0.889,5.2
s01e07,clip_3_13780-18426,17604-17647-.mp4,6,0.916,1.7
s01e07,clip_3_13780-18426,17648-17756-.mp4,14,0.837,4.3
s01e07,clip_3_13780-18426,17757-17856-.mp4,13,0.892,4
s01e07,clip_3_13780-18426,17857-17895-.mp4,5,0.857,1.5
s01e07,clip_3_13780-18426,17896-17959-.mp4,8,0.859,2.5
s01e07,clip_3_13780-18426,17960-17995-.mp4,5,0.851,1.4
s01e07,clip_3_13780-18426,17996-18067-.mp4,9,0.832,2.8
s01e07,clip_3_13780-18426,18068-18099-.mp4,4,0.872,1.2
s01e07,clip_3_13780-18426,18100-18126-.mp4,4,0.825,1
s01e07,clip_3_13780-18426,18127-18191-.mp4,9,0.871,2.6
s01e07,clip_3_13780-18426,18192-18197-.mp4,0,0,0.2
s01e07,clip_3_13780-18426,18198-18426-.mp4,29,0.886,9.1
s01e07,clip_4_18427-23077,18427-18497-.mp4,9,0.853,2.8
s01e07,clip_4_18427-23077,18498-18998-.mp4,63,0.77,20
s01e07,clip_4_18427-23077,18999-19118-.mp4,15,0.79,4.8
s01e07,clip_4_18427-23077,19119-19152-.mp4,5,0.773,1.3
s01e07,clip_4_18427-23077,19153-19181-.mp4,4,0.778,1.1
s01e07,clip_4_18427-23077,19182-19209-.mp4,4,0.808,1.1
s01e07,clip_4_18427-23077,19210-19270-.mp4,8,0.783,2.4
s01e07,clip_4_18427-23077,19271-19512-.mp4,31,0.837,9.6
s01e07,clip_4_18427-23077,19513-19601-.mp4,12,0.829,3.5
s01e07,clip_4_18427-23077,19602-19649-.mp4,6,0.874,1.9
s01e07,clip_4_18427-23077,19650-19681-.mp4,4,0.866,1.2
s01e07,clip_4_18427-23077,19682-19718-.mp4,5,0.823,1.4
s01e07,clip_4_18427-23077,19719-19757-.mp4,5,0.86,1.5
s01e07,clip_4_18427-23077,19758-19893-.mp4,17,0.79,5.4
s01e07,clip_4_18427-23077,19894-19938-.mp4,6,0.802,1.8
s01e07,clip_4_18427-23077,19939-19990-.mp4,7,0.788,2
s01e07,clip_4_18427-23077,19991-20026-.mp4,5,0.783,1.4
s01e07,clip_4_18427-23077,20027-20092-.mp4,9,0.811,2.6
s01e07,clip_4_18427-23077,20093-20225-.mp4,17,0.798,5.3
s01e07,clip_4_18427-23077,20226-20374-.mp4,19,0.853,5.9
s01e07,clip_4_18427-23077,20375-20406-.mp4,4,0.867,1.2
s01e07,clip_4_18427-23077,20407-20446-.mp4,5,0.864,1.6
s01e07,clip_4_18427-23077,20447-20544-.mp4,13,0.804,3.9
